"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_17","exp_avant_17","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
493,"Defenseur",3,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,9.58,9.58,9.58,NA,NA,9.58,9.58,9.58,NA,6e-05,13.88,3,"1","1","1",0,1,NA,NA,NA,NA,2,15,1188,12,1
496,"Defenseur",1,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,8,574,6,NA,7,515,6,1
498,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,1,90,1,NA,7,580,6,1
508,"Milieu",2,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,14.29,14.29,NA,14.29,16.19,16.19,NA,NA,NA,14.29,4e-04,13.28,1,"0","1","0",0,1,NA,NA,NA,NA,NA,7,364,5,1
515,"Milieu",5,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,13.14,12.13,12.2,12.13,12.45,12.45,11.62,11.66,11.66,11.79,0.00026,15.77,3,"0","1","1",0,1,NA,NA,NA,NA,NA,2,93,1,0
523,"Milieu",3,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,15.12,2,"1","0","1",0,1,NA,NA,NA,NA,NA,2,92,1,0
535,"Defenseur",9,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,17.36,2,"0","1","0",1,1,1,5,270,4,NA,11,702,8,0
540,"Milieu",5,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,1,"1","0","0",1,1,NA,1,49,NA,NA,16,744,8,0
561,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,9.27,2,"0","0","1",0,1,NA,NA,NA,NA,2,8,363,4,1
563,"Milieu",5,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049,31.02,1,"1","0","0",1,1,NA,2,88,1,1,7,474,6,1
568,"Defenseur",9,"France","aucun","aucun",1,0,11.43,14.47,15.22,14.47,15.22,15.22,15.22,14.47,14.47,11.43,0.00025,19.56,2,"1","0","0",1,1,NA,11,645,7,NA,9,612,7,0
579,"Attaquant",7,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.67,1,"0","0","1",1,1,4,14,760,10,NA,3,157,1,1
609,"Milieu",8,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,4,12,738,7,2,13,698,7,1
616,"Milieu",7,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,0,16.52,15.39,14.55,15.39,15.37,15.37,14.55,15.39,15.39,16.52,0.00025,16,3,"1","0","1",1,1,2,11,658,8,NA,2,134,1,0
636,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,18.11,18.11,18.11,18.11,18.11,18.11,NA,18.11,18.11,18.11,0,14.17,1,"0","1","0",0,1,NA,NA,NA,NA,NA,6,540,6,0
674,"Gardien de But",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,18.75,18.75,NA,NA,NA,NA,0,11.47,3,"0","0","1",1,1,NA,7,590,7,NA,6,540,6,0
685,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,12.2,2,"0","1","0",0,1,NA,NA,NA,NA,NA,3,150,1,1
688,"Milieu",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,8,321,4,NA,2,90,1,0
695,"Defenseur",2,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,3,12,1056,12,1,20,1750,20,0
697,"Defenseur",3,"France","CFM - CENTRE DE FORMATION DIJON FOOTBALL CÔTE D'OR","PEM - PEM DIJON",0,0,17.56,14.96,13.42,14.96,14.97,14.97,11.72,14.43,14.43,18.05,0.00019,27.14,1,"0","0","0",1,1,2,9,675,7,NA,10,890,10,1
703,"Defenseur",11,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.49,2,"1","0","0",0,1,NA,NA,NA,NA,NA,1,56,1,1
711,"Defenseur",3,"Algérie","aucun","PEM - PEM REIMS",0,0,14.43,13.76,13.25,13.76,13.76,13.76,13.25,13.76,13.76,14.43,5e-05,12.23,2,"1","0","1",0,1,NA,NA,NA,NA,NA,2,73,1,1
713,"Attaquant",5,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,2,90,1,0
724,"Milieu",5,"France","aucun","PEM - PEM CASTELMAUROU",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","0","0",0,1,NA,NA,NA,NA,NA,7,573,7,1
728,"Defenseur",1,"France","aucun","aucun",0,0,14.73,13.34,11.31,13.34,13.34,13.34,11.31,13.34,13.34,16.05,5e-05,16.8,1,"0","1","0",1,1,1,8,490,6,NA,4,360,4,0
732,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,7,413,4,NA,5,376,5,1
736,"Milieu",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26.4,2,"1","0","1",1,1,NA,1,64,1,1,10,568,7,1
750,"Milieu",12,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.75,1,"1","0","0",1,1,5,8,439,4,NA,6,308,4,1
758,"Defenseur",5,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,15.98,15.6,16.34,15.6,16.7,16.7,16.34,15.6,15.6,14.74,0,16.29,2,"0","1","0",1,1,NA,8,516,6,NA,6,404,4,1
769,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,39.57,2,"0","0","1",1,1,NA,11,805,8,NA,4,321,3,0
774,"Defenseur",4,"Cap-Vert","CFM - CENTRE DE FORMATION ST DE REIMS","PEM - PEM REIMS",0,0,18.02,18.02,18.02,18.02,19.01,19.01,NA,NA,NA,NA,0,28.97,1,"0","0","1",1,1,NA,9,470,5,NA,1,27,NA,0
786,"Gardien de But",5,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,1,50,NA,1
791,"Attaquant",12,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,0,13.69,12.94,12.84,12.94,12.94,12.94,12.84,12.17,12.17,13.69,8e-04,16.9,2,"1","0","0",1,1,NA,4,198,2,NA,4,146,2,0
793,"Defenseur",1,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,16.81,17.74,18.2,17.74,17.97,17.97,18.2,17.74,17.74,16.81,5e-05,29.59,1,"0","0","1",0,1,NA,NA,NA,NA,NA,2,85,1,0
815,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.88,4,"1","0","1",0,1,NA,NA,NA,NA,NA,1,44,NA,0
816,"Gardien de But",1,"France","CFM - CENTRE DE FORMATION DIJON FOOTBALL CÔTE D'OR","aucun",0,0,18.7,18.7,18.7,18.7,18.7,18.7,NA,18.7,NA,NA,0,24.02,1,"0","0","0",1,1,NA,1,49,NA,NA,9,810,9,0
828,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,35.55,3,"0","0","1",1,1,NA,7,392,3,NA,2,180,2,1
833,"Attaquant",3,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,13.33,13.33,13.33,10,10,13.33,13.33,13.33,NA,0.00137,18.05,1,"0","0","1",0,1,NA,NA,NA,NA,NA,5,232,2,0
857,"Attaquant",8,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,1,17.81,18.42,17.38,18.42,18.42,18.42,17.38,18.62,18.62,19.05,0.00169,19.72,3,"1","1","0",1,1,6,6,359,4,2,8,378,4,1
859,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,1,50,1,NA,12,761,6,1
907,"Defenseur",9,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.37,1,"1","0","0",0,1,NA,NA,NA,NA,NA,1,73,1,0
909,"Attaquant",12,"France","aucun","aucun",0,0,8.82,8.82,8.82,8.82,NA,NA,NA,NA,NA,8.82,2e-04,12.03,2,"0","1","1",0,1,NA,NA,NA,NA,NA,4,178,3,0
926,"Milieu",1,"Mali","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,1,19,1386,16,1
933,"Milieu",8,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",0,0,NA,14.43,13.93,14.43,14.28,14.28,13.93,14.43,14.43,15.93,0,12.1,3,"0","1","1",1,1,NA,11,782,7,NA,4,246,3,1
966,"Attaquant",5,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","PEM - PEM CLAIREFONTAINE",1,0,18.62,16.66,16.66,16.66,16.66,16.66,15.68,15.68,15.68,NA,0.00063,16.29,2,"1","1","0",0,1,NA,NA,NA,NA,NA,13,504,5,0
969,"Attaquant",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,4.91,4.91,4.91,15,15,4.91,4.91,4.91,NA,0.00079,14.98,2,"0","0","1",1,1,3,9,461,6,2,19,829,9,0
970,"Milieu",1,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",2,0,NA,16.58,16.58,16.58,NA,NA,16.58,16.58,16.58,NA,5e-04,36.32,2,"0","0","1",1,1,NA,11,691,8,NA,14,714,6,1
976,"Defenseur",7,"France","aucun","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,11,931,11,1
979,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,2,180,2,1
986,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,0,14.54,13.74,12.61,13.74,13.74,13.74,12.61,13.74,13.74,14.54,0,14.66,1,"0","0","0",0,1,NA,NA,NA,NA,NA,1,46,1,0
990,"Attaquant",5,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,2,10,481,6,1
1014,"Defenseur",6,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,12.04,14.98,14.64,14.98,17.85,17.85,15.95,14.69,14.69,15.32,0.00012,13.29,2,"0","0","1",0,1,NA,NA,NA,NA,NA,3,194,2,0
1022,"Attaquant",5,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,0,NA,13.59,12.5,13.59,12.5,12.5,12.5,13.59,13.59,15.77,0.00075,14.3,2,"0","0","1",1,1,1,6,255,3,NA,1,46,1,0
1038,"Attaquant",3,"France","CFM - CENTRE DE FORMATION ST DE REIMS","PEM - PEM CLAIREFONTAINE",2,0,15.37,15.78,16.76,15.78,16.32,16.32,16.19,15.07,15.07,12.84,6e-05,14.88,3,"0","1","1",1,1,3,9,430,5,3,19,911,10,0
1046,"Defenseur",5,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,2,98,1,1
1048,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,1,"0","0","0",0,1,NA,NA,NA,NA,1,3,142,1,0
