"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
4357,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00045,9.5,2,"0","1","0",1,0,1,1,1,1,NA,3,150,2,NA,NA,NA,NA,1,4,224,2,NA,3,83,NA,1,4,288,4,NA,1,27,NA,0
4363,"Defenseur",10,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-05,13.55,4,"0","0","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58,1,0
4377,"Milieu",1,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,14.54,2,"0","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,99,1,0
4392,"Defenseur",5,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,105,1,"0","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,406,5,1
4395,"Attaquant",5,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00159,16.13,1,"1","0","0",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,218,3,1,10,319,2,7,12,695,4,5,11,586,6,1
4397,"Gardien de But",12,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,588,8,1
4414,"Milieu",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00321,62.4,1,"0","1","0",1,0,1,1,0,1,1,9,454,5,NA,NA,NA,NA,NA,5,216,2,NA,3,225,3,NA,NA,NA,NA,1,2,150,1,0
4432,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,13.15,4,"1","1","1",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,104,1,NA,5,174,1,NA,6,227,1,NA,4,149,1,0
4443,"Attaquant",1,"France","aucun","aucun",6,1,NA,NA,NA,NA,20,20,NA,NA,NA,NA,0.00037,28.73,4,"1","1","0",0,1,1,1,0,1,NA,NA,NA,NA,2,12,824,10,4,9,624,7,2,13,721,7,NA,NA,NA,NA,17,14,936,12,0
4444,"Attaquant",6,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,1,12.49,13.51,13.66,13.51,13.9,13.9,14.91,14.72,14.72,14.63,0.00034,6.8,4,"1","0","1",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,321,5,NA,NA,0,NA,0
4476,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,59.67,1,"0","1","0",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,56,1,NA,5,312,4,NA,4,186,2,0
4509,"Defenseur",8,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26.86,2,"0","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,501,5,0
4526,"Milieu",11,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,9.01,4,"1","1","0",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,199,3,NA,1,63,NA,0
4556,"Defenseur",4,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,12.63,4,"1","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,401,4,0
4571,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION ST. BRESTOIS 29","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.6,1,"1","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,0
4587,"Attaquant",5,"Maroc","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,1,NA,14.32,14.32,14.32,NA,NA,14.32,14.32,14.32,NA,0.00038,11.17,2,"1","1","0",0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,422,5,NA,NA,NA,NA,NA,NA,NA,NA,3,12,623,8,0
4589,"Defenseur",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,854,11,1
4593,"Attaquant",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.5,1,"1","0","0",1,1,1,1,1,1,10,11,688,7,1,8,346,2,2,4,257,3,NA,6,347,5,NA,8,328,3,NA,1,30,1,0
4615,"Gardien de But",1,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.74,2,"0","0","1",1,1,1,1,0,1,NA,10,851,10,NA,8,671,8,NA,5,450,5,NA,4,360,4,NA,NA,NA,NA,NA,NA,0,NA,0
4620,"Milieu",1,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,14.03,3,"0","1","1",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,1,NA,9,594,5,NA,1,32,NA,1
4635,"Milieu",12,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,10.77,4,"0","0","1",0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,179,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,397,4,0
4643,"Milieu",9,"Gabon","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53,1,"1","0","0",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,269,3,NA,1,38,NA,0
4706,"Milieu",5,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,1,NA,15.63,15.6,15.63,14.93,14.93,15.6,15.6,15.6,15.79,8e-05,6.89,6,"1","1","1",0,1,0,1,1,1,NA,NA,NA,NA,NA,2,55,1,NA,NA,NA,NA,NA,18,1025,12,2,5,260,3,NA,1,17,NA,0
4711,"Defenseur",11,"France","aucun","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,105,1,"0","0","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,2047,23,1
4716,"Gardien de But",12,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",2,1,17.48,15.41,13.82,15.41,15.41,15.41,13.82,13.82,13.82,18.2,0,8.2,4,"0","0","1",1,1,1,1,0,1,NA,7,581,7,NA,3,270,3,NA,1,90,1,NA,11,1020,11,NA,NA,NA,NA,NA,1,90,1,0
4721,"Defenseur",2,"Congo","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,1,1,1,1,14,1106,12,1,18,1442,16,NA,5,231,3,NA,12,1110,12,1,8,587,7,NA,1,32,NA,0
4771,"Milieu",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43.29,1,"0","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1062,12,1
