"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","France U19","France U20","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","Y"
1752,"Gardien de But",3,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,13.02,13.02,10.34,13.02,13.68,13.68,NA,15.01,14.8,14.8,0,8.14,3,"1","1","1",0,1,0,1,1,NA,NA,NA,NA,NA,1,46,1,NA,NA,NA,NA,NA,5,404,4,NA,5,450,5,0
1762,"Milieu",8,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.2,1,"0","1","0",1,1,1,0,1,NA,2,180,2,NA,7,247,2,NA,2,136,2,NA,NA,NA,NA,NA,3,256,3,1
1769,"Defenseur",5,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","0","1",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45,1,NA,NA,NA,NA,NA,NA,0,NA,0
1781,"Attaquant",6,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","PEM - PEM CLAIREFONTAINE",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00098,16.29,1,"0","0","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,674,8,NA,9,528,6,NA,2,95,1,1
1784,"Milieu",3,"Tunisie","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,1,"1","0","0",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,173,3,NA,14,959,11,1,2,159,2,0
1794,"Milieu",8,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.25,1,"1","0","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,3,205,2,1
1798,"Defenseur",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49.81,1,"1","0","0",1,1,1,0,1,1,5,450,5,NA,9,725,8,NA,4,338,4,NA,NA,NA,NA,NA,2,180,2,0
1819,"Defenseur",12,"Cameroun","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,225.75,3,"1","0","1",1,1,1,1,1,3,16,1316,14,NA,2,124,1,NA,3,270,3,1,16,1260,14,1,8,669,7,0
1829,"Defenseur",11,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,21.5,2,"0","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,1
1831,"Attaquant",4,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",2,1,15.53,14.32,14.83,14.32,14.42,14.42,13.82,13.51,13.51,13.79,0.00012,5.74,3,"1","0","1",1,1,1,1,1,NA,2,100,1,NA,12,548,7,4,10,621,7,NA,1,90,1,NA,2,136,2,1
1834,"Milieu",3,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-04,18.44,2,"1","0","0",0,1,1,1,1,NA,NA,NA,NA,2,10,783,7,1,6,481,6,1,12,1064,11,3,13,1175,13,0
1846,"Attaquant",11,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,1,17,16.59,16.97,16.59,17.15,17.15,16.97,16.59,16.59,17.36,0.00049,8.69,7,"0","1","1",0,1,0,0,1,NA,NA,NA,NA,NA,3,147,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,156,2,0
1849,"Attaquant",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33,NA,2,2,82,1,0
1856,"Defenseur",5,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,9.86,1,"0","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,577,7,1
1878,"Gardien de But",2,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,1,1,NA,7,581,7,NA,14,1097,13,NA,3,270,3,NA,14,1244,13,NA,3,270,3,0
1898,"Milieu",9,"Congo","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,225,3,1
1947,"Defenseur",5,"Sénégal","CFM - ACADEMY AS MONACO FC","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028,25.01,3,"0","1","1",1,1,1,1,1,NA,13,1074,12,NA,8,671,8,NA,4,355,4,1,16,1352,16,2,4,290,3,1
1954,"Milieu",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,103,1,0
1982,"Milieu",4,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00045,24.49,1,"0","1","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,176,2,NA,2,100,1,0
1992,"Gardien de But",11,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.28,1,"0","0","1",1,0,1,1,1,NA,4,360,4,NA,NA,NA,NA,NA,1,90,1,NA,4,316,4,NA,5,360,4,1
2001,"Milieu",7,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,1,NA,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,NA,0.00012,6.83,2,"0","1","1",1,1,0,1,1,NA,7,329,5,NA,7,342,5,NA,NA,NA,NA,NA,15,787,7,1,6,353,4,0
2003,"Attaquant",1,"France","aucun","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391,42.67,1,"1","0","0",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,77,1,NA,2,22,NA,5,16,1219,15,1
2016,"Milieu",3,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",2,0,13.49,13.36,12.11,13.36,13.69,13.69,13.06,13.75,13.75,14.42,0.00021,7.33,2,"0","0","1",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,483,5,NA,NA,NA,NA,NA,1,28,NA,0
2017,"Defenseur",5,"Madagascar","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,1,1,NA,NA,NA,NA,NA,1,50,NA,2,10,554,6,NA,1,44,NA,NA,2,148,2,0
2022,"Milieu",5,"Algérie","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033,8.75,2,"1","1","0",0,1,1,1,1,NA,NA,NA,NA,1,12,905,11,1,6,408,4,1,12,869,12,1,3,149,1,0
2090,"Defenseur",9,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,566,6,NA,2,180,2,1
2098,"Gardien de But",2,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.96,3,"1","0","1",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1216,14,NA,5,404,4,1
2099,"Defenseur",8,"Sénégal","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,46.33,1,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,854,8,1
2115,"Attaquant",3,"Cote d'ivoire","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00112,19.9,3,"0","0","1",1,0,1,0,1,NA,2,180,2,NA,NA,NA,NA,2,3,190,3,NA,NA,NA,NA,2,7,366,3,1
2160,"Attaquant",1,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0,11.88,10.01,6.3,10.01,8.69,8.69,6.3,10.01,10.01,12.97,6e-04,6.03,4,"1","0","1",1,1,0,1,1,2,6,240,3,NA,1,44,NA,NA,NA,NA,NA,5,15,790,10,4,8,544,6,0
2194,"Gardien de But",6,"Congo","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.95,1,"0","0","0",1,0,0,1,1,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,357,5,NA,5,450,5,1
2296,"Milieu",2,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,12.64,1,"0","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,283,4,1
2325,"Gardien de But",11,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,13.65,13.28,13.01,13.28,14.12,14.12,13.01,13.28,13.28,13.65,0,7.42,1,"0","0","0",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,NA,NA,NA,NA,6,540,6,0
2350,"Defenseur",1,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00045,41.62,1,"0","1","0",1,1,1,1,1,NA,4,300,3,NA,5,377,4,NA,2,171,2,NA,20,1552,18,NA,3,246,3,1
2353,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.74,2,"0","0","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,NA,5,450,5,NA,4,360,4,1
2368,"Milieu",2,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,15.64,15.64,15.64,14.82,14.82,15.64,15.64,15.64,NA,0.00024,12.13,2,"1","0","0",1,1,1,1,1,3,12,903,9,2,15,1214,15,1,12,859,10,1,16,1122,13,NA,3,170,2,1
2369,"Attaquant",2,"Cameroun","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00749,76.29,1,"1","0","0",0,1,0,1,1,NA,NA,NA,NA,NA,3,182,2,NA,NA,NA,NA,NA,2,104,2,1,1,69,1,1
2386,"Milieu",2,"France","aucun","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,7.98,2,"1","0","0",1,1,1,1,1,NA,6,368,5,NA,2,115,1,NA,8,564,7,NA,11,634,7,NA,7,388,6,1
2424,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.69,2,"1","0","1",1,1,1,1,1,NA,7,630,7,NA,1,90,1,NA,1,44,NA,NA,5,450,5,NA,1,90,1,0
2438,"Defenseur",2,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,12.77,3,"1","0","0",1,0,1,1,1,NA,1,90,1,NA,NA,NA,NA,NA,2,180,2,NA,13,979,12,NA,3,260,3,1
2439,"Milieu",9,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,1,6.63,16.67,16.67,16.67,16.19,16.19,16.67,14.66,14.66,NA,0.00024,9.32,3,"1","0","1",1,0,0,0,1,NA,2,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48,1,0
2446,"Defenseur",10,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","PEM - PEM PLOUFRAGAN",0,0,14.66,14.15,14.21,14.15,14.15,14.15,14.21,14.15,14.15,14.66,0.00021,8.42,2,"0","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,NA,0
2450,"Defenseur",1,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,13.34,1,"0","0","0",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,136,2,1,12,788,9,NA,5,450,5,1
2464,"Attaquant",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,1,0
2465,"Gardien de But",3,"Tunisie","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,1,"0","1","0",1,1,1,1,1,NA,2,180,2,NA,2,180,2,NA,1,90,1,NA,2,180,2,NA,2,180,2,1
2481,"Attaquant",3,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118,18.47,1,"1","0","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,427,5,1,8,634,8,1
2500,"Milieu",5,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,0,NA,10.32,10.32,10.32,NA,NA,10.32,10.32,10.32,NA,0.00013,10.37,3,"1","0","1",1,1,1,1,1,NA,10,508,5,NA,10,654,8,NA,7,323,3,NA,6,370,4,NA,2,88,1,0
2502,"Defenseur",3,"Guadeloupe","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25.88,2,"1","0","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,608,7,NA,10,841,10,NA,13,1170,13,1
2527,"Milieu",3,"France","aucun","aucun",0,1,NA,17.79,17.24,17.79,18.42,18.42,17.24,17.24,17.24,20,0.00016,8.25,3,"1","0","1",1,1,0,1,1,NA,2,89,1,NA,3,132,2,NA,NA,NA,NA,NA,9,407,6,NA,2,165,2,0
2560,"Milieu",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00105,31.68,1,"1","0","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,187,2,NA,4,227,2,0
2583,"Milieu",8,"France","aucun","aucun",0,1,12.93,13.51,14.24,13.51,14.24,14.24,13.8,13.01,13.01,9.87,0.00042,6.31,4,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,169,1,0
2591,"Milieu",1,"France","CFM - LOSC LILLE ASSOCIATION","aucun",1,0,NA,15.09,15.09,15.09,NA,NA,15.09,15.09,15.09,NA,0.00046,11.23,3,"1","0","1",1,1,1,1,1,NA,11,537,6,1,8,286,2,4,7,438,5,2,15,970,10,1,2,102,1,0
2595,"Defenseur",8,"Cap-Vert","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,0,1,1,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,450,4,NA,2,172,2,1
2604,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,73,1,3,9,386,4,0
2619,"Milieu",4,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,14.98,2,"0","0","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,454,4,1,2,76,NA,1,3,201,2,1
2632,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00279,44.88,1,"0","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,399,4,1
2641,"Attaquant",3,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00133,32.86,2,"1","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,151,1,1
2676,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,187,2,NA,NA,NA,NA,NA,1,90,1,0
2680,"Attaquant",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,10.96,10.96,13.41,10.96,10.96,10.96,13.41,10.96,10.96,10.96,5e-04,8.62,4,"1","1","0",0,1,0,0,1,NA,NA,NA,NA,NA,1,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,183,2,0
2690,"Milieu",11,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,1,"0","1","0",0,1,1,1,1,NA,NA,NA,NA,1,13,774,8,1,6,379,4,1,8,488,5,1,9,573,5,1
2694,"Defenseur",8,"France","aucun","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,20.4,1,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,630,7,1
2697,"Gardien de But",11,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",1,0,15.54,15.54,15.54,15.54,15.54,15.54,NA,15.54,NA,NA,0,18.22,2,"0","0","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,NA,10,856,10,NA,6,540,6,0
2711,"Gardien de But",7,"France","aucun","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.5,1,"1","0","0",1,1,1,1,1,NA,10,900,10,NA,12,1080,12,NA,5,450,5,NA,3,224,2,NA,1,44,NA,1
2713,"Defenseur",3,"France","aucun","aucun",0,0,18.28,18.28,18.28,18.28,18.28,18.28,NA,NA,NA,NA,0,8.27,2,"1","0","1",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,1176,14,NA,4,143,2,0
2716,"Attaquant",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",3,1,13.88,14.54,14.79,14.54,14.54,14.54,14.79,14.54,14.54,13.88,0.00061,7.9,6,"1","1","1",1,1,1,0,1,12,17,1026,10,4,19,1240,13,4,10,426,4,NA,NA,NA,NA,NA,4,175,1,1
2718,"Milieu",7,"France","aucun","aucun",2,0,11.48,14.82,16.49,14.82,16.49,16.49,16.49,14.82,14.82,11.48,0.00029,7.71,3,"1","0","1",1,1,1,0,1,1,10,454,6,2,18,1128,13,2,12,867,10,NA,NA,NA,NA,4,8,553,7,0
2738,"Milieu",3,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,8,596,6,NA,12,959,11,1,15,1153,13,1
2741,"Milieu",3,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43.94,1,"0","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,310,3,0
2780,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",1,0,15.75,15.19,15.41,15.19,15.39,15.39,14.63,14.76,14.76,14.83,0.00017,9.92,1,"0","1","0",1,1,1,0,1,NA,3,115,1,1,6,216,3,NA,3,111,2,NA,NA,NA,NA,NA,3,120,1,1
2784,"Defenseur",11,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36.81,2,"1","0","0",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,1,44,NA,NA,6,197,2,1
2797,"Defenseur",3,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,14.51,15.13,15.13,15.13,15.13,15.13,NA,NA,NA,NA,6e-05,6.76,4,"1","1","1",0,1,0,1,1,NA,NA,NA,NA,NA,6,387,3,NA,NA,NA,NA,2,11,784,9,NA,3,125,2,1
2804,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,360,4,NA,2,134,1,1
2809,"Defenseur",5,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,20.43,3,"1","0","1",1,1,0,1,1,2,12,815,8,NA,7,449,4,NA,NA,NA,NA,NA,1,35,NA,NA,1,90,1,1
2819,"Attaquant",5,"Congo","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00213,10.59,2,"0","1","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,57,1,1
2821,"Defenseur",2,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,1,6.33,6.33,6.33,6.33,6.33,6.33,NA,NA,NA,NA,5e-05,15.85,4,"1","0","0",0,1,1,1,1,NA,NA,NA,NA,NA,1,74,1,NA,7,625,7,1,12,1003,12,NA,2,102,1,0
2824,"Attaquant",11,"France","aucun","PEM - PEM CLAIREFONTAINE",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00123,9.34,1,"1","0","0",1,0,0,1,1,NA,3,118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,178,2,NA,12,575,5,1
2842,"Milieu",6,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00026,13.93,1,"0","1","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31,NA,NA,4,280,3,1
2863,"Milieu",10,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011,7.67,2,"0","1","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,268,3,1
2893,"Defenseur",1,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,1,13.85,13.54,14.48,13.54,14.59,14.59,14.48,13.54,13.54,12.27,5e-05,9.54,5,"1","0","1",1,1,0,1,1,NA,10,527,6,NA,4,270,3,NA,NA,NA,NA,1,3,135,1,1,1,90,1,0
2910,"Milieu",10,"Cameroun","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,33.49,1,"0","0","1",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,226,2,NA,10,736,8,0
2912,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",1,0,12.9,12.41,11.54,12.41,12.98,12.98,11.91,12.75,12.75,13.85,6e-05,11.96,1,"0","1","0",0,1,0,0,1,NA,NA,NA,NA,NA,4,182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,1,0
