"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_16","exp_avant_16","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","Y"
1371,"Gardien de But",8,"Cote d'ivoire","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,13.86,13.86,13.86,13.86,13.86,13.86,NA,13.86,NA,NA,0,70,1,"0","1","0",1
1372,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1373,"Milieu",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1386,"Milieu",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.77,2,"0","1","0",1
1387,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1389,"Defenseur",2,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,0,5.44,5.44,NA,5.44,NA,NA,NA,5.44,5.44,5.44,0.00011,24.36,2,"1","0","1",1
1390,"Milieu",1,"Sénégal","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM NANCY",0,0,13.85,14.01,14.14,14.01,16.12,16.12,14.14,13.24,13.24,15.45,0.00024,15.69,2,"0","0","1",1
1397,"Milieu",5,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,NA,7e-05,23.12,1,"0","1","0",1
1403,"Defenseur",1,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",1,0,18.36,15.87,14.63,15.87,15.03,15.03,14.63,14.63,14.63,18.36,0,45.87,1,"1","0","0",1
1419,"Milieu",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,13.8,13.8,NA,13.8,13.8,13.8,NA,13.8,13.8,13.8,0.00023,18.85,2,"1","0","0",1
