"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","Y"
237,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101,15.6,2,"1","0","1",0,NA,NA,NA,NA,1
239,"Milieu",11,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033,9.91,2,"1","1","0",0,NA,NA,NA,NA,1
241,"Defenseur",10,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00433,10.5,2,"1","0","0",0,NA,NA,NA,NA,1
262,"Attaquant",2,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,2,88,1,0
264,"Milieu",6,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,12.32,12.32,12.32,NA,NA,NA,NA,NA,12.32,0.00068,14.6,2,"1","0","0",1,NA,5,172,2,0
270,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,9.66,9.66,9.66,9.66,NA,NA,NA,9.66,9.66,9.66,6e-04,11.36,2,"0","0","1",0,NA,NA,NA,NA,0
282,"Defenseur",2,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00182,6.23,1,"0","1","0",0,NA,NA,NA,NA,0
287,"Gardien de But",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.69,1,"1","0","0",0,NA,NA,NA,NA,1
291,"Defenseur",1,"Sénégal","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,17.66,1,"1","0","0",1,NA,9,462,5,0
327,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,16.96,16.4,16.75,16.4,16.5,16.5,16.75,16.4,16.4,16.11,2e-04,9.9,5,"1","0","1",1,NA,5,182,2,0
331,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
334,"Attaquant",6,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00703,71.14,1,"0","0","0",0,NA,NA,NA,NA,0
344,"Attaquant",4,"Etats-Unis","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28,1,"0","0","0",0,NA,NA,NA,NA,0
353,"Defenseur",4,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
368,"Attaquant",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,0,16.16,17.92,18.8,17.92,18.8,18.8,18.8,17.92,17.92,16.16,0.00053,13.66,4,"1","0","0",1,2,5,195,2,0
371,"Milieu",1,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,0,10.21,10.21,10.21,10.21,10.21,10.21,NA,NA,NA,NA,0.00013,21.91,1,"0","0","0",1,NA,2,126,1,0
375,"Defenseur",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,75.04,1,"0","0","0",0,NA,NA,NA,NA,0
386,"Attaquant",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00081,34.48,1,"1","0","0",0,NA,NA,NA,NA,0
388,"Milieu",1,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,18.66,2,"1","0","0",0,NA,NA,NA,NA,0
414,"Milieu",1,"Maroc","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00029,8.86,2,"0","1","0",0,NA,NA,NA,NA,0
416,"Attaquant",4,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,10.55,10.55,10.55,NA,NA,10.55,10.55,10.55,NA,0.00081,20.62,1,"0","0","1",1,2,11,518,6,1
422,"Defenseur",7,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,14.1,11.17,8.43,11.17,11.86,11.86,7.5,11.42,11.42,16.64,0,10.36,3,"1","0","1",0,NA,NA,NA,NA,0
423,"Defenseur",6,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,0,6.6,11.42,11.42,11.42,6.6,6.6,16.24,16.24,16.24,NA,6e-05,26.28,1,"0","0","1",0,NA,NA,NA,NA,1
425,"Attaquant",12,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00078,16.24,2,"0","1","0",0,NA,NA,NA,NA,1
438,"Defenseur",2,"Maurice","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
448,"Milieu",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
452,"Defenseur",4,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM DIJON",0,0,NA,11.34,11.34,11.34,NA,NA,11.34,11.35,11.34,NA,0.00071,22.49,2,"1","0","0",1,NA,3,154,2,0
465,"Defenseur",2,"Congo","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.32,1,"1","0","0",1,NA,5,348,4,0
470,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. METZ","PEM - PEM NANCY",1,0,NA,17.75,17.75,17.75,NA,NA,17.75,17.75,17.75,NA,0,29.14,1,"0","0","1",1,NA,11,768,8,0
499,"Attaquant",10,"Congo","CFM - CENTRE DE FORMATION ST. BRESTOIS 29","aucun",0,0,16,12.9,12.9,12.9,15.51,15.51,10.53,10.53,10.53,NA,0.00034,16.1,3,"1","0","0",1,NA,2,68,1,0
512,"Milieu",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
516,"Milieu",4,"France","aucun","PEM - PEM DIJON",0,0,13.81,15.19,12.88,15.19,15.19,15.19,12.88,15.58,15.58,17.03,0.00021,16.04,3,"0","0","1",0,NA,NA,NA,NA,1
527,"Milieu",7,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,20,NA,NA,NA,20,20,NA,NA,NA,NA,0,67.32,1,"0","0","1",0,NA,NA,NA,NA,0
545,"Defenseur",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.53,2,"1","0","0",1,NA,2,89,1,0
546,"Defenseur",1,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM PLOUFRAGAN",0,1,12.95,13.25,14.29,13.25,13.92,13.92,14.29,13.25,13.25,12.95,2e-05,11.41,4,"1","1","1",1,1,3,134,2,0
547,"Defenseur",4,"France","aucun","aucun",0,1,NA,15.97,15.97,15.97,14.13,14.13,15.97,15.97,15.97,NA,0,16.62,3,"1","0","1",1,NA,5,266,4,0
557,"Defenseur",1,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,14.19,14.19,14.19,15.8,15.8,14.19,14.19,14.19,NA,0.00015,12.22,2,"0","1","0",1,NA,1,90,1,0
558,"Attaquant",8,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
570,"Defenseur",10,"Mali","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
586,"Milieu",5,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,13.5,13.5,13.5,13.5,13.5,13.5,NA,13.5,13.5,13.5,0.00095,7.67,1,"0","0","1",0,NA,NA,NA,NA,1
590,"Defenseur",7,"France","aucun","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"0","0","1",0,NA,NA,NA,NA,0
593,"Defenseur",2,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.05,1,"1","0","0",1,NA,1,90,1,0
595,"Attaquant",9,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00168,14.55,3,"1","0","0",1,9,10,455,5,0
601,"Attaquant",3,"Mali","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
602,"Milieu",7,"Madagascar","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
603,"Milieu",9,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
604,"Attaquant",12,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
628,"Attaquant",9,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,0,10.59,10.59,14.34,10.59,NA,NA,14.34,10.59,10.59,10.59,0.00045,10.68,3,"0","0","1",0,NA,NA,NA,NA,1
639,"Defenseur",12,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
647,"Milieu",8,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,12.29,12.29,12.29,12.35,12.35,12.29,12.29,12.29,NA,0.00036,7.99,2,"0","1","1",0,NA,NA,NA,NA,0
666,"Defenseur",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
676,"Defenseur",6,"Algérie","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.52,1,"0","0","1",0,NA,NA,NA,NA,1
690,"Defenseur",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25.6,1,"1","0","0",1,NA,1,14,NA,0
702,"Attaquant",11,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00188,16.15,1,"1","0","0",0,NA,NA,NA,NA,0
708,"Milieu",4,"France","CFM - CENTRE DE FORMATION CLERMONT FOOT 63","aucun",0,0,15.16,16.19,16.9,16.19,16.19,16.19,18.24,16.58,16.58,15.48,0.00014,20.33,1,"0","0","1",0,NA,NA,NA,NA,1
712,"Milieu",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021,28.59,1,"0","1","0",1,2,9,578,6,0
715,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION DIJON FOOTBALL CÔTE D'OR","PEM - PEM CLAIREFONTAINE",0,0,NA,16.78,16.78,16.78,17.45,17.45,16.78,16.78,16.78,NA,0,9.78,4,"0","1","1",1,NA,2,180,2,0
734,"Milieu",1,"France","aucun","aucun",0,1,NA,15.64,15.64,15.64,15.51,15.51,15.64,15.64,15.64,NA,0,95.25,1,"1","0","0",1,2,7,376,3,0
737,"Milieu",11,"France","CFM - CENTRE DE FORMATION ST DE REIMS","PEM - PEM REIMS",0,0,14.01,14.85,16.54,14.85,17.8,18.07,17.8,15.53,15.53,13.33,6e-05,10.05,2,"0","0","1",0,NA,NA,NA,NA,1
740,"Attaquant",11,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,NA,16.96,16.96,16.96,NA,NA,16.96,16.96,16.96,NA,0.00057,20.13,2,"1","1","0",0,NA,NA,NA,NA,0
742,"Attaquant",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
744,"Attaquant",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,9.07,2,"0","1","1",1,NA,1,55,1,0
747,"Attaquant",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,20.51,2,"1","0","0",0,NA,NA,NA,NA,1
752,"Gardien de But",5,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","PEM - PEM AJACCIO",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.71,1,"1","0","0",1,NA,1,80,1,1
757,"Attaquant",1,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00083,33.6,1,"0","0","1",1,3,14,687,8,0
766,"Attaquant",4,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","aucun",0,0,15.34,15.34,NA,15.34,16.89,16.89,NA,NA,NA,15.34,5e-04,12.78,1,"0","1","0",1,NA,3,200,2,0
775,"Milieu",2,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",0,0,11.51,13.32,14.23,13.32,13.93,13.93,14.23,13.32,13.32,11.51,9e-05,11.44,2,"0","1","0",0,NA,NA,NA,NA,0
794,"Defenseur",5,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,15.38,4,"1","0","1",0,NA,NA,NA,NA,0
795,"Milieu",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,10.09,4,"0","1","1",0,NA,NA,NA,NA,1
800,"Defenseur",12,"Guinée","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
801,"Defenseur",6,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM CLAIREFONTAINE",0,0,18.06,18.06,18.06,18.06,17.04,17.04,NA,NA,NA,NA,9e-05,16.34,2,"1","1","0",1,NA,4,244,2,0
812,"Attaquant",8,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
818,"Milieu",11,"Algérie","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
821,"Gardien de But",4,"Cameroun","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,17.52,17.52,NA,17.52,17.52,17.52,NA,17.52,17.52,17.52,0,10.87,1,"1","0","0",0,NA,NA,NA,NA,0
824,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,10.98,10.98,10.98,12.3,12.3,10.98,12.3,12.3,NA,0,11.96,4,"1","0","0",0,NA,NA,NA,NA,1
830,"Defenseur",4,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,1
835,"Milieu",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,0
836,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0,18.28,16.16,16.16,16.16,18.28,18.28,14.04,14.04,14.04,NA,0,27.52,1,"0","0","1",1,NA,4,220,2,0
847,"Defenseur",4,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,0,14.34,12.92,12.31,12.92,12.92,12.92,11.28,12.64,12.64,13.54,3e-05,16.88,1,"0","0","1",0,NA,NA,NA,NA,1
853,"Defenseur",7,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,11.69,2,"1","0","0",1,1,7,321,3,0
855,"Defenseur",9,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-05,11.67,2,"1","1","0",0,NA,NA,NA,NA,1
