"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","France U18","France U19","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","Y"
732,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024,43.1,1,"0","1","0",1,1,1,1,1,7,413,4,NA,5,376,5,NA,7,520,6,NA,16,1035,11,1
734,"Milieu",1,"France","aucun","aucun",0,1,NA,15.64,15.64,15.64,15.51,15.51,15.64,15.64,15.64,NA,0,22,2,"1","1","0",1,0,0,1,2,7,376,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,71,1,0
736,"Milieu",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028,14.86,4,"1","0","1",1,1,1,1,NA,1,64,1,1,10,568,7,1,8,571,7,NA,9,641,7,1
740,"Attaquant",11,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,NA,16.96,16.96,16.96,NA,NA,16.96,16.96,16.96,NA,5e-04,15.07,3,"1","1","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,92,1,0
747,"Attaquant",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,16.3,2,"1","0","0",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,153,2,NA,4,181,2,0
750,"Milieu",12,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00184,12.07,1,"1","0","0",1,1,1,1,5,8,439,4,NA,6,308,4,NA,2,23,NA,NA,2,38,NA,1
758,"Defenseur",5,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,15.98,15.6,16.34,15.6,16.7,16.7,16.34,15.6,15.6,14.74,0,10.02,4,"1","1","0",1,1,0,1,NA,8,516,6,NA,6,404,4,NA,NA,NA,NA,NA,15,989,10,1
786,"Gardien de But",5,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,1,NA,NA,NA,NA,NA,1,50,NA,NA,1,90,1,NA,1,76,NA,1
800,"Defenseur",12,"Guinée","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308,56.52,2,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,920,10,1
821,"Gardien de But",4,"Cameroun","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,17.52,17.52,NA,17.52,17.52,17.52,NA,17.52,17.52,17.52,0,8.73,1,"1","0","0",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
824,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,10.98,10.98,10.98,12.3,12.3,10.98,12.3,12.3,NA,0,10.34,5,"1","0","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,3,270,3,1
828,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,17.52,4,"0","0","1",1,1,1,1,NA,7,392,3,NA,2,180,2,NA,4,302,3,NA,1,90,1,0
836,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0,18.28,16.16,16.16,16.16,18.28,18.28,14.04,14.04,14.04,NA,0,27.52,1,"0","0","1",1,0,0,1,NA,4,220,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,0
857,"Attaquant",8,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,1,17.81,18.42,17.38,18.42,18.42,18.42,17.38,18.62,18.62,19.05,0.00122,10.76,3,"1","1","0",1,1,1,1,6,6,359,4,2,8,378,4,2,7,373,4,NA,1,29,NA,0
859,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,1,NA,1,50,1,NA,12,761,6,1,6,421,5,NA,6,379,5,1
897,"Milieu",11,"France","aucun","aucun",0,0,NA,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,NA,1e-04,7.8,3,"1","0","1",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,166,2,NA,5,356,4,1
926,"Milieu",1,"Mali","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,1,NA,NA,NA,NA,1,19,1386,16,1,5,379,4,NA,7,477,5,1
