"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
2876,"Attaquant",5,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,NA,NA,NA,NA,NA,8,523,7,NA,5,372,4,1
2906,"Gardien de But",2,"République Centrafricaine","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.77,1,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,0
2918,"Milieu",4,"Espagne","aucun","aucun",0,0,NA,12.77,12.77,12.77,12.77,12.77,12.77,12.78,12.77,NA,0.00117,8.55,1,"1","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,174,2,0
2923,"Attaquant",3,"Guadeloupe","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,6,11,630,7,6,20,1227,14,1,5,251,3,1
2927,"Defenseur",6,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,13.29,11.87,13.29,11.87,11.87,11.87,NA,11.87,11.87,11.87,1e-04,10.68,1,"0","1","0",0,1,1,NA,NA,NA,NA,NA,8,437,5,NA,7,424,4,0
2931,"Attaquant",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00176,35.56,1,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,6,402,4,0
2935,"Defenseur",6,"France","aucun","aucun",2,0,NA,16.22,16.22,16.22,15.98,15.98,16.22,16.22,16.22,NA,1e-04,18.49,2,"1","0","0",1,1,1,NA,9,555,5,NA,9,769,8,NA,10,847,10,0
2942,"Defenseur",12,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,NA,4e-05,21.03,2,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,92,1,0
2943,"Milieu",9,"Algérie","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01047,63.67,1,"1","0","0",1,1,1,NA,3,189,1,2,6,424,4,10,9,574,7,1
2947,"Milieu",12,"Algérie","aucun","aucun",0,1,20,20,20,20,NA,NA,NA,NA,NA,NA,0.00427,46.8,2,"1","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,295,3,0
2977,"Gardien de But",9,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20.88,1,"0","1","0",1,1,1,NA,5,409,4,NA,3,227,2,NA,1,90,1,0
2990,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00025,41.72,1,"0","1","0",1,1,1,1,16,1020,13,NA,1,90,1,NA,5,335,4,0
2997,"Milieu",1,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",1,0,NA,10.8,10.8,10.8,NA,NA,10.8,10.8,10.8,NA,0.00012,26.29,1,"0","1","0",1,1,1,NA,10,794,9,NA,7,481,5,NA,3,270,3,0
2999,"Attaquant",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00086,89.46,1,"0","0","0",1,0,1,2,2,76,1,NA,NA,NA,NA,2,3,177,2,0
3008,"Milieu",7,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,30.38,2,"0","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,NA,1
